Timestamp,Pageview Mobile,Pageview Desktop,Pageview All,PageCount All,Pagecount Desktop,Pagecount Mobile
2008010100,0,0,0,4930902570,4930902570,0
2008020100,0,0,0,4818393763,4818393763,0
2008030100,0,0,0,4955405809,4955405809,0
2008040100,0,0,0,5159162183,5159162183,0
2008050100,0,0,0,5584691092,5584691092,0
2008060100,0,0,0,5712104279,5712104279,0
2008070100,0,0,0,5306302874,5306302874,0
2008080100,0,0,0,5140155519,5140155519,0
2008090100,0,0,0,5479533823,5479533823,0
2008100100,0,0,0,5679440782,5679440782,0
2008110100,0,0,0,5415832071,5415832071,0
2008120100,0,0,0,5211708451,5211708451,0
2009010100,0,0,0,5802681551,5802681551,0
2009020100,0,0,0,5547320860,5547320860,0
2009030100,0,0,0,6295159057,6295159057,0
2009040100,0,0,0,5988817321,5988817321,0
2009050100,0,0,0,6267516733,6267516733,0
2009060100,0,0,0,5818924182,5818924182,0
2009070100,0,0,0,5801646978,5801646978,0
2009080100,0,0,0,5790850384,5790850384,0
2009090100,0,0,0,4057515768,4057515768,0
2009100100,0,0,0,6016107147,6016107147,0
2009110100,0,0,0,5768486910,5768486910,0
2009120100,0,0,0,5426505977,5426505977,0
2010010100,0,0,0,5703465285,5703465285,0
2010020100,0,0,0,5762451418,5762451418,0
2010030100,0,0,0,6661347946,6661347946,0
2010040100,0,0,0,6618552152,6618552152,0
2010050100,0,0,0,6410578775,6410578775,0
2010060100,0,0,0,4898035014,4898035014,0
2010070100,0,0,0,5296177638,5296177638,0
2010080100,0,0,0,7381346660,7381346660,0
2010090100,0,0,0,7546488744,7546488744,0
2010100100,0,0,0,10172844562,10172844562,0
2010110100,0,0,0,6948678354,6948678354,0
2010120100,0,0,0,7001952100,7001952100,0
2011010100,0,0,0,7568511227,7568511227,0
2011020100,0,0,0,6906248849,6906248849,0
2011030100,0,0,0,7326545928,7326545928,0
2011040100,0,0,0,6835492088,6835492088,0
2011050100,0,0,0,7009799378,7009799378,0
2011060100,0,0,0,6536675534,6536675534,0
2011070100,0,0,0,6571730164,6571730164,0
2011080100,0,0,0,6514500361,6514500361,0
2011090100,0,0,0,5837738935,5837738935,0
2011100100,0,0,0,6974424665,6974424665,0
2011110100,0,0,0,7507641641,7507641641,0
2011120100,0,0,0,6396357939,6396357939,0
2012010100,0,0,0,7808477339,7808477339,0
2012020100,0,0,0,7530127141,7530127141,0
2012030100,0,0,0,7358543625,7358543625,0
2012040100,0,0,0,7220029422,7220029422,0
2012050100,0,0,0,7784479302,7784479302,0
2012060100,0,0,0,7524265988,7524265988,0
2012070100,0,0,0,7819376527,7819376527,0
2012080100,0,0,0,7885641059,7885641059,0
2012090100,0,0,0,7913689733,7913689733,0
2012100100,0,0,0,8379960050,8379960050,0
2012110100,0,0,0,8219987195,8219987195,0
2012120100,0,0,0,8033826900,8033826900,0
2013010100,0,0,0,9126210673,9126210673,0
2013020100,0,0,0,8100597857,8100597857,0
2013030100,0,0,0,8701419671,8701419671,0
2013040100,0,0,0,8049296729,8049296729,0
2013050100,0,0,0,8089099883,8089099883,0
2013060100,0,0,0,7759959725,7759959725,0
2013070100,0,0,0,8237301982,8237301982,0
2013080100,0,0,0,9306122925,9306122925,0
2013090100,0,0,0,9985326806,9985326806,0
2013100100,0,0,0,10775158269,10775158269,0
2013110100,0,0,0,10414877805,10414877805,0
2013120100,0,0,0,7102459747,7102459747,0
2014010100,0,0,0,7026531269,7026531269,0
2014020100,0,0,0,6718243109,6718243109,0
2014030100,0,0,0,7464128273,7464128273,0
2014040100,0,0,0,7216245221,7216245221,0
2014050100,0,0,0,7543277646,7543277646,0
2014060100,0,0,0,6577352648,6577352648,0
2014070100,0,0,0,6761059566,6761059566,0
2014080100,0,0,0,6687313714,6687313714,0
2014090100,0,0,0,7564600999,7564600999,0
2014100100,0,0,0,9669079813,6577533128,3091546685
2014110100,0,0,0,9181027274,6153537606,3027489668
2014120100,0,0,0,9109282269,5830332248,3278950021
2015010100,0,0,0,9589069146,6103767055,3485302091
2015020100,0,0,0,8694244918,5602710439,3091534479
2015030100,0,0,0,9677435301,6346602713,3330832588
2015040100,0,0,0,9421035574,6198945657,3222089917
2015050100,0,0,0,9657871297,6323801814,3334069483
2015060100,0,0,0,8203576103,5165413640,3038162463
2015070100,8347710510,4376666686,7665421980,8483698717,5229226022,3254472695
2015080100,3302333038,4332482183,7634815221,8304022031,5035534449,3268487582
2015090100,3170203333,4485491704,7655695037,8582061182,5409631355,3172429827
2015100100,3268499132,4477532755,7746031887,8781786976,5535704471,3246082505
2015110100,3236601070,4287720220,7524321290,8515190628,5296956116,3218234512
2015120100,3376275307,4100012037,7476287344,8651858036,5264446173,3387411863
2016010100,3717836846,4436179457,8154016303,9309261244,5569632502,3739628742
2016020100,3334862272,4250997185,7585859457,8680940753,5347709361,3333231392
2016030100,3386684191,4286590426,7673274617,8827529692,5407676056,3419853636
2016040100,3258764002,4149383857,7408147859,8873620523,5572235399,3301385124
2016050100,3395033236,4191778094,7586811330,8748968139,5330532334,3418435805
2016060100,3354790945,3888839711,7243630656,8347710510,4975092447,3372618063
2016070100,3496573762,4337865827,7834439589,0,0,0
2016080100,3515819303,4695046216,8210865519,0,0,0
2016090100,3393285781,4135006498,7528292279,0,0,0
2016100100,3509283891,4361737690,7871021581,0,0,0
2016110100,3591044925,4392068236,7983113161,0,0,0
2016120100,3776543855,4209608578,7986152433,0,0,0
2017010100,4231961542,4521980398,8753941940,0,0,0
2017020100,3711761399,4026702163,7738463562,0,0,0
2017030100,3903493989,4319971902,8223465891,0,0,0
2017040100,3639623119,3951456992,7591080111,0,0,0
2017050100,3686687720,4187870579,7874558299,0,0,0
2017060100,3519383193,3604550997,7123934190,0,0,0
2017070100,3725059253,3565444544,7290503797,0,0,0
2017080100,3621406302,3575572313,7196978615,0,0,0
